iteration,t_cmd_build_us,t_cmd_serialize_us,t_cmd_parse_us,t_cmd_verify_us,t_ack_build_us,t_ack_serialize_us,t_status_build_us,t_status_serialize_us,T_coord_total_us
333,31.498,10.896,10.476,8.101,21.441,9.08,20.393,10.407,122.292
334,31.219,10.616,9.847,7.683,20.952,9.568,20.044,10.407,120.336
335,30.52,11.803,10.058,22.349,22.139,10.756,21.161,10.756,139.542
336,30.52,11.035,10.546,9.428,19.137,9.079,20.044,10.477,120.266
337,29.124,10.057,15.155,8.591,20.114,10.895,20.114,10.337,124.387
338,48.959,21.022,12.781,9.009,27.168,13.968,39.041,17.111,189.059
339,42.254,11.873,11.454,6.984,19.066,11.035,64.812,11.384,178.862
340,34.85,11.803,10.477,8.241,20.882,11.594,20.673,11.035,129.555
341,31.01,10.336,10.616,8.101,19.975,11.035,20.393,31.987,143.453
342,35.689,13.27,11.105,8.101,20.533,119.917,23.886,11.384,243.885
343,32.406,10.825,11.035,8.241,19.835,9.708,20.254,12.432,124.736
344,31.359,23.327,10.476,8.101,21.93,9.569,21.022,10.895,136.679
345,31.499,12.501,10.337,8.66,19.974,9.499,21.79,11.314,125.574
346,31.498,10.965,10.406,7.683,20.044,11.384,21.092,10.895,123.967
347,34.781,10.825,10.546,7.753,22.139,9.569,20.672,10.546,126.831
348,30.939,38.133,11.384,8.73,22.768,9.638,22.35,11.034,154.976
349,35.2,12.641,10.406,7.962,21.511,9.499,20.114,10.406,127.739
350,31.01,11.104,10.407,7.612,20.534,9.498,20.603,10.406,121.174
351,31.987,10.546,18.368,8.171,20.673,11.943,20.952,10.546,133.186
352,31.009,10.476,11.943,9.498,20.045,9.638,20.393,10.546,123.548
353,30.101,9.918,9.498,7.613,19.276,9.638,20.463,9.08,115.587
354,42.812,31.987,16.832,15.574,42.115,15.574,30.73,33.384,229.008
355,61.53,15.714,16.692,19.067,39.111,15.854,31.009,14.108,213.085
356,51.892,20.603,14.247,14.388,32.406,13.758,30.032,14.457,191.783
357,50.285,16.553,16.831,11.245,26.26,13.479,29.543,14.247,178.443
358,45.467,14.177,15.365,10.337,26.609,14.038,26.749,15.295,168.037
359,43.302,15.853,13.759,10.616,24.165,12.571,48.889,16.203,185.358
360,44.838,13.898,16.134,11.034,25.772,12.781,26.26,14.736,165.453
361,46.025,15.924,12.292,11.803,29.054,13.968,29.054,16.622,174.742
362,48.051,14.387,13.828,10.477,25.212,11.524,33.174,20.394,177.047
363,51.612,25.772,76.196,12.571,39.041,16.483,33.593,17.251,272.519
364,45.397,13.758,16.762,10.895,56.292,21.581,37.435,18.298,220.418
365,55.244,20.394,17.739,11.315,25.771,13.409,29.543,16.762,190.177
366,42.812,15.784,14.318,11.453,26.261,12.292,27.657,14.806,165.383
367,39.949,15.853,12.781,9.988,27.098,12.362,24.584,14.876,157.491
368,41.904,14.387,12.781,10.197,28.495,14.736,31.918,17.809,172.227
369,45.397,16.342,14.667,12.501,26.61,13.828,53.01,16.133,198.488
370,47.422,17.6,14.108,11.524,26.19,12.921,28.146,14.736,172.647
371,42.324,14.806,22.838,12.013,28.076,14.387,27.029,14.736,176.209
372,45.326,17.111,15.714,13.829,31.009,16.692,30.102,16.133,185.916
373,64.533,19.486,28.076,19.136,35.759,13.409,38.203,23.816,242.418
374,53.567,57.689,19.555,14.807,48.539,23.048,40.368,25.631,283.204
375,56.292,14.457,16.063,13.479,30.032,13.759,28.145,15.226,187.453
376,43.162,16.203,13.898,10.826,26.26,12.99,28.565,15.714,167.618
377,45.886,16.133,15.854,10.755,27.308,13.2,30.73,16.343,176.209
378,45.466,17.46,13.48,10.895,27.727,12.781,29.123,15.854,172.786
379,66.978,20.114,15.574,13.968,35.27,17.6,30.52,16.273,216.297
380,45.187,15.016,14.736,11.105,28.076,14.178,28.704,17.251,174.253
381,45.815,15.645,15.295,11.035,26.26,13.13,28.635,13.759,169.574
382,44.698,14.457,15.225,10.896,87.65,20.184,32.266,15.924,241.3
383,45.187,14.806,14.248,10.127,26.19,11.943,26.26,35.828,184.589
384,44.558,15.784,14.248,10.546,26.749,12.85,27.587,15.226,167.548
385,43.721,14.946,12.711,10.406,26.47,12.362,27.168,15.365,163.149
386,42.952,14.736,13.829,10.546,26.26,12.292,30.101,16.203,166.919
387,43.65,21.092,15.575,12.082,40.927,13.759,28.146,16.761,191.992
388,44.0,15.086,13.689,12.012,27.448,12.85,27.169,15.225,167.479
389,63.905,15.644,13.968,10.756,26.819,12.222,26.958,14.318,184.59
390,42.812,14.457,22.768,12.502,29.123,14.667,29.543,16.412,182.284
391,44.908,15.435,14.178,10.127,26.609,13.409,28.146,15.156,167.968
392,44.209,15.296,14.317,10.406,28.076,13.829,28.565,15.365,170.063
393,45.955,15.575,13.479,10.895,28.216,12.781,33.384,15.854,176.139
394,47.492,16.133,14.387,10.965,49.098,14.248,36.736,21.092,210.151
395,53.288,43.581,28.216,15.714,40.089,21.93,52.869,29.962,285.649
396,67.048,21.371,19.136,10.895,28.076,14.038,29.054,30.521,220.139
397,58.597,28.704,25.213,14.736,50.146,18.019,29.543,15.434,240.392
398,44.279,15.574,13.689,29.124,28.146,13.479,28.076,15.714,188.081
399,43.511,14.736,13.899,11.314,28.006,13.13,29.054,15.365,169.015
400,44.698,16.273,16.203,11.035,27.238,13.2,29.123,16.064,173.834
401,45.047,15.365,26.19,11.943,28.635,13.689,29.123,16.343,186.335
402,49.378,16.203,14.387,11.314,26.749,13.48,28.076,16.622,176.209
403,44.908,16.133,13.969,27.866,28.844,13.41,28.635,15.155,188.92
404,42.812,16.762,12.851,13.828,27.168,12.502,26.888,14.318,167.129
405,40.997,14.876,14.666,10.127,26.749,13.27,29.543,17.181,167.409
406,43.721,14.736,14.108,10.895,25.771,12.991,27.587,15.295,165.104
407,43.022,15.155,12.991,12.222,26.4,12.711,27.587,14.317,164.405
408,44.907,16.134,16.342,10.407,27.727,13.269,53.917,23.467,206.17
409,52.241,24.304,18.089,15.295,31.987,13.759,29.543,15.225,200.443
410,48.4,14.387,25.492,13.41,27.657,13.2,26.819,18.158,187.523
411,45.886,18.019,13.968,11.733,28.006,14.108,28.146,15.365,175.231
412,42.812,14.876,12.781,10.127,24.724,12.501,26.191,16.552,160.564
413,41.415,13.27,13.828,11.035,23.397,12.362,26.19,32.895,174.392
414,48.749,16.622,14.387,10.336,27.937,13.2,27.727,15.784,174.742
415,42.952,14.736,12.362,10.197,26.609,13.34,28.704,15.016,163.916
416,42.254,15.155,13.41,10.895,25.841,13.27,27.657,15.434,163.916
417,42.463,17.6,14.178,11.035,27.866,16.692,29.613,28.076,187.523
418,43.581,25.701,19.905,16.343,34.85,22.559,44.978,20.882,228.799
419,73.403,30.591,19.485,15.714,43.441,27.238,51.124,29.542,290.538
420,72.634,29.753,21.231,18.718,26.12,13.898,29.473,16.203,228.03
421,43.441,14.667,63.205,10.826,31.009,14.457,31.429,16.622,225.656
422,42.324,15.784,13.828,10.896,28.564,13.55,28.355,36.317,189.618
423,47.072,16.692,16.762,12.362,27.727,12.292,28.076,15.923,176.906
424,42.044,16.762,13.758,11.454,27.098,13.48,28.145,15.715,168.456
425,43.86,16.203,13.479,10.756,27.028,13.689,28.146,15.784,168.945
426,43.929,15.715,13.828,10.546,28.146,15.155,33.314,14.248,174.881
427,44.698,13.41,13.27,10.546,25.212,11.594,25.701,14.248,158.679
428,42.114,35.758,14.527,12.432,27.098,13.479,26.749,15.156,187.313
429,43.371,14.736,25.283,11.035,26.679,13.479,27.448,14.526,176.557
430,43.511,13.689,13.479,11.384,24.864,13.27,28.076,16.831,165.104
431,45.607,13.898,18.787,12.502,31.009,21.79,32.476,19.556,195.625
432,54.266,15.435,15.923,10.477,26.958,12.991,27.657,16.063,179.77
433,51.053,16.273,10.895,9.01,48.33,12.152,21.162,10.825,179.7
434,45.187,13.968,15.155,9.149,25.143,13.06,25.213,15.155,162.03
435,35.409,16.483,14.736,10.546,27.937,14.736,26.26,12.292,158.399
436,33.872,12.781,13.899,11.384,26.749,14.247,30.87,14.317,158.119
437,35.13,11.873,14.387,10.895,29.613,18.228,27.657,15.575,163.358
438,47.283,19.835,13.758,10.826,25.282,12.851,22.907,10.965,163.707
439,63.974,12.292,10.127,10.476,26.749,9.848,22.558,11.733,167.757
440,38.622,12.501,11.315,8.66,23.257,13.06,28.565,12.292,148.272
441,34.851,12.013,10.825,8.101,20.045,9.428,25.073,15.714,136.05
442,44.698,14.946,12.292,9.499,26.749,10.546,22.768,10.685,152.183
443,31.917,10.407,10.476,54.546,30.52,15.365,26.679,11.873,191.783
444,35.759,12.501,9.359,9.079,21.023,8.939,20.464,10.336,127.46
445,34.361,33.384,11.035,8.94,21.581,9.498,20.533,10.406,149.738
446,31.498,22.768,11.105,8.241,20.673,9.079,20.464,17.32,141.148
447,36.248,12.012,12.362,12.851,28.565,9.708,21.79,13.479,147.015
448,43.72,12.921,11.244,8.032,19.695,10.825,23.886,11.454,141.777
449,40.019,11.943,20.463,10.965,27.168,10.616,24.095,10.965,156.234
450,39.46,14.458,12.292,9.009,22.07,9.917,28.565,13.549,149.32
451,35.269,12.013,10.546,7.962,20.463,8.87,45.676,11.105,151.904
452,35.689,10.965,11.035,7.612,19.626,8.939,23.048,10.755,127.669
453,30.451,12.152,10.337,7.962,20.114,9.498,19.626,14.177,124.317
454,40.577,11.384,10.965,7.683,27.727,17.041,22.978,11.314,149.669
455,38.412,13.13,10.896,12.501,24.305,12.92,28.495,11.873,152.532
456,33.384,10.895,10.896,8.241,19.485,10.546,20.813,10.406,124.666
457,34.641,17.041,13.479,9.987,23.397,9.498,23.397,10.406,141.846
458,34.78,10.337,31.987,10.336,21.372,10.825,20.673,10.825,151.135
459,34.292,13.759,13.409,9.918,20.603,9.498,20.603,10.825,132.907
460,32.965,10.546,10.267,8.032,20.603,9.009,20.603,11.803,123.828
461,44.768,14.317,18.089,9.568,33.873,12.501,23.327,10.965,167.408
462,35.968,14.876,12.362,8.45,21.162,11.314,20.534,10.965,135.631
463,34.361,11.315,10.476,8.241,19.905,11.593,21.162,10.546,127.599
464,32.266,11.803,10.546,7.683,20.952,10.057,20.882,11.105,125.294
465,56.292,11.872,11.035,8.102,22.139,9.638,20.673,11.105,150.856
466,31.499,12.78,10.546,8.102,20.114,9.429,20.603,10.825,123.898
467,31.918,10.615,12.362,7.962,20.184,9.848,21.092,10.895,124.876
468,31.009,11.105,22.349,9.638,26.679,11.384,21.022,10.965,144.151
469,44.488,11.803,10.337,7.612,20.813,10.895,65.371,13.829,185.148
470,33.384,11.105,10.406,8.102,20.044,10.476,20.603,10.756,124.876
471,31.219,10.686,13.688,8.591,20.533,9.498,53.01,11.872,159.097
472,37.155,11.524,10.546,7.473,26.609,12.222,25.771,13.759,145.059
473,37.574,13.34,12.501,9.499,22.908,11.873,24.793,10.965,143.453
474,31.987,14.108,11.384,8.102,20.952,8.66,21.372,10.546,127.111
475,32.406,15.644,15.854,9.987,22.908,10.895,22.0,15.226,144.92
476,39.599,11.873,10.616,8.102,22.419,9.568,20.952,11.873,135.002
477,35.34,10.965,9.987,8.591,20.882,9.638,20.882,10.896,127.181
478,31.219,11.034,35.689,9.01,22.977,10.406,21.092,10.896,152.323
479,32.406,12.711,10.546,8.241,19.765,13.828,27.937,14.317,139.751
480,35.339,11.035,10.895,8.102,21.511,9.498,20.463,10.965,127.808
481,32.895,10.825,12.432,8.241,21.651,9.568,20.463,10.546,126.621
482,33.314,11.384,10.616,8.102,28.146,14.247,32.406,12.013,150.228
483,47.003,16.692,14.527,12.99,34.781,11.384,26.679,12.851,176.907
484,36.667,10.895,12.012,8.102,28.635,42.463,38.133,13.898,190.805
485,52.52,23.886,18.997,14.387,44.209,16.622,33.664,15.225,219.51
486,49.587,16.762,23.257,22.419,42.952,15.784,35.619,15.156,221.536
487,36.248,12.222,11.663,8.521,20.533,10.406,20.603,10.896,131.092
488,33.873,9.638,22.279,9.708,21.232,9.498,21.72,10.477,138.425
489,32.406,10.895,10.476,8.242,19.904,9.149,19.905,11.105,122.082
490,57.829,13.13,10.895,8.171,21.162,9.568,20.464,11.035,152.254
491,31.498,12.292,10.127,7.613,36.177,15.295,35.34,11.873,160.215
492,35.06,10.058,11.942,8.521,21.511,10.406,21.022,10.895,129.415
493,32.476,11.873,9.987,8.171,19.905,9.568,20.464,11.523,123.967
494,31.708,10.546,10.406,9.569,20.463,53.428,22.489,10.895,169.504
495,32.895,9.638,9.498,8.451,21.162,17.879,26.958,11.454,137.935
496,36.177,10.895,10.616,8.102,19.974,28.076,23.886,10.476,148.202
497,31.498,19.765,12.432,9.777,21.022,8.591,22.419,11.873,137.377
498,33.454,12.502,10.406,9.498,18.578,11.454,20.952,10.546,127.39
499,35.06,15.016,11.454,9.149,22.838,9.568,22.838,10.546,136.469
500,34.85,11.105,10.336,9.08,22.0,9.498,22.0,14.666,133.535
501,45.117,14.318,10.476,9.498,22.0,11.803,23.397,11.873,148.482
502,34.85,10.756,10.546,9.638,21.86,8.241,20.673,13.41,129.974
503,42.324,12.082,37.574,10.477,22.907,9.988,22.418,12.432,170.202
504,37.644,10.756,11.454,9.079,19.276,11.105,20.812,10.616,130.742
505,31.498,10.895,10.616,9.917,79.2,14.247,27.099,13.13,196.602
506,37.295,12.781,13.339,9.149,23.327,10.965,23.397,12.781,143.034
507,35.339,12.502,24.793,9.918,23.746,10.965,23.885,12.781,153.929
508,38.273,12.781,11.943,9.568,23.816,10.965,23.955,12.222,143.523
509,36.527,12.851,12.222,41.974,29.054,12.921,27.726,13.759,187.034
510,41.904,13.968,12.642,9.498,23.187,10.895,23.886,12.92,148.9
511,37.645,12.85,11.943,9.499,22.488,11.384,23.816,12.432,142.057
512,38.761,12.711,11.943,9.219,23.327,10.476,24.305,12.292,143.034
513,36.387,12.781,12.362,12.012,21.86,10.127,20.883,12.012,138.424
514,33.803,10.965,10.127,8.521,19.625,9.498,21.022,10.826,124.387
515,31.009,11.035,10.895,8.102,19.206,9.359,50.495,15.993,156.094
516,41.625,11.873,17.25,9.918,24.863,9.918,24.863,10.895,151.205
517,29.543,11.105,10.755,8.032,20.393,10.337,20.603,10.895,121.663
518,34.432,10.406,10.895,7.753,19.974,10.546,20.952,10.477,125.435
519,32.406,10.825,10.407,7.682,20.673,9.149,23.327,11.524,125.993
520,31.429,9.498,56.711,10.476,23.816,9.149,21.371,11.035,173.485
521,31.708,11.035,10.825,7.682,20.045,9.009,20.533,12.432,123.269
522,37.575,13.409,39.67,10.825,23.047,11.734,20.952,11.175,168.387
523,35.689,11.873,9.638,9.009,23.886,11.384,28.146,12.362,141.987
524,34.362,10.895,10.825,9.079,21.162,9.079,20.534,9.498,125.434
525,35.2,10.476,16.762,8.52,22.489,9.429,21.581,10.406,134.863
526,32.267,11.943,9.917,7.962,21.511,11.873,27.727,12.292,135.492
527,36.247,14.178,35.828,11.524,31.987,11.244,23.048,10.755,174.811
528,33.873,11.035,11.314,8.172,19.974,9.079,46.305,12.851,152.603
529,34.361,11.734,10.546,8.73,20.673,9.149,20.184,12.012,127.389
530,34.711,10.895,10.616,8.101,22.908,9.498,29.613,16.133,142.475
531,41.834,12.292,10.966,8.52,20.394,9.079,27.238,13.689,144.012
532,42.952,13.269,13.55,10.755,27.727,10.476,24.794,15.085,158.608
533,46.025,17.74,13.27,11.034,19.975,10.546,21.371,13.968,153.929
534,40.508,12.991,14.107,9.15,30.38,14.388,31.987,12.781,166.292
535,61.041,16.832,18.019,10.127,23.257,13.968,24.025,10.965,178.234
536,45.187,12.991,11.873,10.476,39.25,18.927,30.032,12.99,181.726
537,44.978,13.479,14.667,10.057,26.679,11.524,26.749,15.155,163.288
538,43.441,15.156,12.571,10.336,23.257,10.267,22.0,9.987,147.015
539,40.159,11.384,9.987,9.638,23.746,9.638,23.257,10.616,138.425
540,32.895,10.965,10.685,7.962,51.403,10.965,24.863,11.454,161.192
541,32.895,10.616,11.384,9.01,20.533,9.498,20.184,11.733,125.853
542,31.219,11.035,10.267,7.543,21.092,9.428,20.603,10.406,121.593
543,32.965,10.406,10.895,8.171,19.556,12.92,28.565,13.41,136.888
544,34.502,12.92,13.829,12.85,27.657,12.013,28.146,16.133,158.05
545,39.53,16.692,14.527,12.92,30.102,11.454,23.396,10.407,159.028
546,38.273,14.247,29.613,11.384,56.641,13.27,32.964,14.388,210.78
547,47.352,11.803,12.501,8.591,21.371,10.546,21.441,10.546,144.151
548,35.27,26.469,14.248,11.524,29.542,14.737,32.895,12.99,177.675
549,37.714,10.546,15.645,7.612,23.397,13.2,29.333,13.968,151.415
550,45.746,15.225,15.225,10.616,25.771,13.27,27.238,13.759,166.85
551,42.533,12.711,11.594,9.498,32.895,10.895,30.521,13.479,164.126
552,62.019,12.012,11.454,8.451,19.765,10.755,22.419,10.476,157.351
553,31.987,11.035,9.987,8.032,21.022,9.498,20.114,10.476,122.151
554,32.965,10.895,9.917,8.241,19.416,8.521,20.393,10.826,121.174
555,31.917,11.035,9.918,8.101,20.603,11.384,20.533,10.477,123.968
556,47.562,13.479,17.46,9.988,28.285,13.968,29.054,15.645,175.441
557,45.746,12.362,11.105,7.962,22.977,8.451,21.651,14.527,144.781
558,36.038,11.524,12.781,10.616,27.587,10.965,48.12,17.181,174.812
559,36.737,11.034,13.2,7.264,19.416,11.384,21.092,10.825,130.952
560,30.52,10.477,11.384,8.171,19.975,9.568,21.93,9.498,121.523
561,37.225,12.99,11.734,10.406,20.324,9.987,21.022,10.406,134.094
562,30.031,11.384,10.965,10.127,24.654,14.387,23.397,11.873,136.818
563,39.46,21.721,20.603,13.2,39.6,19.625,38.552,21.022,213.783
564,55.733,14.736,12.781,8.94,23.466,10.336,50.635,12.292,188.919
565,35.34,10.895,10.965,9.149,20.394,10.127,19.834,10.686,127.39
566,32.336,11.804,22.977,8.451,21.581,9.917,20.114,10.896,138.076
567,30.031,11.105,10.756,7.682,21.441,9.568,24.235,10.895,125.713
568,31.219,11.034,11.803,8.172,19.485,10.058,20.533,9.987,122.291
569,30.521,10.336,10.546,55.733,21.371,10.337,22.0,11.314,172.158
570,34.851,10.965,10.895,8.171,20.952,11.035,20.952,10.477,128.298
571,42.254,13.269,30.311,11.594,22.768,10.546,21.441,10.965,163.148
572,31.987,10.965,10.546,8.939,20.673,8.87,20.184,10.406,122.57
573,30.939,11.943,10.965,8.521,20.184,9.428,19.626,10.476,122.082
574,33.873,11.733,10.546,8.242,19.904,9.149,20.324,10.197,123.968
575,31.708,10.756,9.987,8.171,19.975,9.568,19.974,11.035,121.174
576,31.009,10.476,10.476,7.753,20.323,9.219,20.813,10.197,120.266
577,30.8,11.244,9.429,9.219,19.416,10.615,18.438,11.594,120.755
578,31.009,10.965,10.546,7.682,19.905,11.035,47.492,16.692,155.326
579,52.101,12.711,11.035,8.171,22.28,11.104,20.883,10.546,148.831
580,32.406,12.013,10.546,7.962,20.673,11.733,33.384,15.225,143.942
581,49.028,16.203,14.317,11.943,29.613,16.133,30.94,16.831,185.008
582,53.708,16.063,15.854,11.873,30.032,14.457,32.406,20.393,194.786
583,52.799,15.994,13.758,11.594,28.565,14.667,30.52,16.343,184.24
584,72.425,15.853,14.597,11.454,28.775,13.479,32.406,20.952,209.941
585,43.371,14.737,22.07,11.803,21.581,14.107,25.911,14.527,168.107
586,49.936,14.876,12.362,12.432,30.031,14.737,32.895,15.295,182.564
587,48.609,18.298,15.854,14.248,32.406,14.876,43.301,25.353,212.945
588,47.771,16.971,15.714,11.245,28.145,13.759,31.428,39.74,204.773
589,48.679,16.133,23.467,12.711,38.342,13.479,30.521,16.063,199.395
590,46.723,14.807,18.019,12.501,47.073,22.558,33.734,17.53,212.945
591,47.562,16.343,14.666,11.035,30.451,13.409,32.476,69.212,235.154
592,54.336,13.968,11.803,9.01,20.533,10.476,24.305,14.876,159.307
593,42.743,13.829,10.825,8.451,45.885,12.851,31.498,12.781,178.863
594,49.099,12.082,11.803,6.216,21.371,9.918,24.165,11.384,146.038
595,32.476,9.987,17.111,15.784,33.384,18.648,28.565,11.873,167.828
596,39.67,14.666,14.667,16.273,23.885,11.454,21.441,11.454,153.51
597,32.476,15.225,22.07,18.438,41.136,16.972,33.174,17.111,196.602
598,49.028,16.692,14.806,11.454,28.216,14.177,32.895,20.115,187.383
599,55.314,27.587,16.203,12.362,31.498,15.714,30.102,16.622,205.402
600,43.441,16.273,14.247,10.477,27.168,12.082,30.032,17.53,171.25
601,55.175,17.32,15.156,11.593,23.048,11.104,21.791,11.593,166.78
602,31.917,13.34,10.546,8.101,20.044,9.918,20.673,10.755,125.294
603,37.784,10.965,10.336,8.032,20.882,9.429,23.466,11.314,132.208
604,31.499,11.803,9.498,8.241,20.394,9.568,22.349,35.829,149.181
605,36.038,12.152,21.511,9.009,22.0,9.988,20.533,10.965,142.196
606,31.428,9.708,10.337,8.101,22.419,10.476,21.022,11.315,124.806
607,35.06,12.013,10.336,8.242,19.904,9.149,19.975,10.965,125.644
608,31.498,11.245,10.546,7.752,20.394,10.126,20.813,11.175,123.549
609,31.359,10.825,10.546,7.683,20.393,10.616,20.882,10.616,122.92
610,40.996,17.74,11.384,9.079,23.257,9.708,20.813,10.406,143.383
611,35.13,10.826,9.568,7.752,19.416,8.66,19.905,29.682,140.939
612,36.666,11.454,10.546,7.683,20.184,9.149,18.787,10.965,125.434
613,31.918,9.917,9.568,7.264,19.416,8.66,19.485,9.569,115.797
614,29.124,9.847,10.057,7.194,18.927,9.498,20.324,9.009,113.98
615,31.009,10.057,9.498,6.635,17.74,8.94,18.717,9.987,112.583
616,31.009,10.127,9.498,7.543,18.787,8.87,19.207,9.498,114.539
617,76.266,10.546,9.917,7.613,20.114,8.94,19.136,10.476,163.008
618,29.053,9.638,9.848,6.705,20.114,8.939,18.997,9.848,113.142
619,28.635,9.568,25.702,12.501,21.791,10.127,19.485,10.127,137.936
620,29.612,9.918,10.057,7.752,18.787,9.568,18.857,9.918,114.469
621,29.054,9.987,9.429,7.263,19.067,8.52,19.137,9.987,112.444
622,29.054,9.149,11.733,9.15,19.066,8.94,18.577,10.267,115.936
623,30.52,10.127,9.009,7.543,18.718,8.52,19.137,9.917,113.491
624,29.542,10.057,16.203,7.613,19.695,9.359,19.276,10.755,122.5
625,32.337,11.174,9.988,6.565,19.136,9.009,19.626,9.987,117.822
626,29.612,8.591,11.942,7.543,18.718,8.939,19.206,9.08,113.631
627,45.047,11.035,9.917,8.102,19.695,9.359,19.136,9.987,132.278
628,29.542,10.127,9.359,7.682,17.67,7.543,19.276,9.848,111.047
629,29.333,9.918,10.197,8.52,24.305,14.666,27.238,12.921,137.098
630,45.816,16.692,14.736,8.731,22.139,10.057,22.14,10.546,150.857
631,31.498,10.336,10.616,8.102,19.974,11.454,20.044,11.454,123.478
632,35.758,23.816,13.898,11.035,30.87,10.895,22.489,10.895,159.656
633,33.384,13.409,10.895,8.172,19.974,9.568,19.486,11.524,126.412
634,66.978,11.733,10.406,7.264,19.904,9.15,19.485,10.057,154.977
635,29.612,9.918,9.568,7.193,19.067,9.009,19.067,10.057,113.491
636,28.845,10.057,9.289,7.612,19.137,9.009,19.136,9.918,113.003
637,29.054,9.708,9.429,7.612,18.718,8.939,19.206,9.918,112.584
638,31.219,10.546,9.848,7.543,19.206,8.939,18.648,11.873,117.822
639,29.054,9.708,10.406,7.543,19.206,8.94,21.581,11.803,118.241
640,28.146,10.127,9.498,6.984,19.137,8.59,18.997,9.568,111.047
641,28.704,9.918,9.149,7.543,19.136,8.591,18.996,27.657,129.694
642,31.499,10.476,9.847,7.543,16.203,9.359,19.625,9.987,114.539
643,29.124,10.057,9.079,7.613,18.647,8.94,19.136,9.988,112.584
644,30.451,10.057,18.578,8.031,19.556,9.777,19.137,9.987,125.574
645,30.45,10.127,9.568,7.613,18.648,8.939,21.581,16.622,123.548
646,44.838,13.2,11.943,10.336,25.283,11.803,77.802,19.905,215.11
647,48.958,13.968,11.384,8.451,21.651,12.152,26.749,14.317,157.63
648,41.905,16.343,34.291,14.248,23.816,10.965,23.327,11.034,175.929
649,34.991,12.222,9.917,9.219,18.019,9.568,19.975,11.035,124.946
650,48.54,33.453,14.318,11.454,29.892,13.828,26.4,12.571,190.456
651,36.247,12.99,13.759,9.498,19.067,11.454,28.146,15.365,146.526
652,35.27,9.428,12.921,7.473,21.441,8.66,22.419,10.476,128.088
653,33.384,9.708,22.279,8.241,21.791,13.968,28.635,13.2,151.206
654,41.415,14.318,12.85,10.127,48.959,12.501,23.816,11.035,175.021
655,31.429,15.435,12.222,9.079,21.511,12.222,20.394,10.825,133.117
656,34.851,12.921,9.847,10.197,19.835,10.196,22.28,10.615,130.742
657,30.521,14.736,12.082,9.359,26.121,14.526,28.146,11.454,146.945
658,32.476,12.292,10.546,8.172,19.904,9.219,19.416,10.616,122.641
659,32.476,10.336,9.01,8.171,19.695,9.149,19.975,11.104,119.916
660,32.406,10.406,9.15,7.682,18.997,9.149,20.393,11.594,119.777
661,44.838,15.295,11.314,31.917,23.397,10.895,22.978,14.666,175.3
662,39.041,15.225,13.41,9.498,22.489,10.825,22.07,10.336,142.894
663,33.315,14.177,18.229,13.758,22.0,31.429,30.939,12.921,176.768
