iteration,t_cmd_build_us,t_cmd_serialize_us,t_cmd_parse_us,t_cmd_verify_us,t_ack_build_us,t_ack_serialize_us,t_status_build_us,t_status_serialize_us,T_coord_total_us
664,33.803,9.847,10.895,8.172,20.184,9.638,20.882,10.616,124.037
665,34.781,10.406,10.127,8.032,20.114,10.476,20.464,10.546,124.946
666,31.429,10.406,12.013,7.403,21.93,10.965,20.114,10.476,124.736
667,31.498,10.546,12.362,9.498,18.229,9.428,20.603,10.337,122.501
668,63.765,16.343,11.803,8.59,20.045,14.317,29.054,12.92,176.837
669,32.895,11.034,10.966,8.031,20.114,9.429,20.673,10.266,123.408
670,29.333,10.546,10.057,8.521,21.511,10.406,28.146,20.603,139.123
671,36.317,9.987,10.058,7.542,18.718,13.619,35.549,19.136,150.926
672,80.178,12.292,10.476,10.127,21.371,10.616,31.009,11.803,187.872
673,31.289,9.917,9.708,8.94,19.206,9.009,19.486,9.568,117.123
674,34.78,13.48,26.679,8.59,21.86,10.546,19.975,9.638,145.548
675,28.565,11.384,10.057,7.193,18.927,9.219,19.416,9.638,114.399
676,32.964,10.057,10.058,6.984,17.809,9.917,22.559,9.917,120.265
677,30.311,10.407,9.638,7.193,18.997,7.682,19.416,9.708,113.352
678,51.612,14.178,11.943,9.219,24.723,8.661,20.184,9.638,150.158
679,37.994,11.524,10.057,7.542,19.626,9.009,20.603,11.314,127.669
680,31.498,9.568,15.156,9.568,25.702,9.917,21.301,10.407,133.117
681,30.59,11.943,10.336,7.683,37.714,10.476,21.511,10.336,140.589
682,30.101,10.616,10.406,8.94,19.695,9.359,19.625,9.987,118.729
683,30.52,10.058,18.507,10.057,21.023,9.498,19.066,10.477,129.206
684,30.52,11.803,9.987,7.753,19.346,8.52,19.905,10.406,118.24
685,30.101,9.987,9.499,7.612,25.283,12.012,30.451,17.111,142.056
686,35.339,11.035,10.756,8.032,20.812,9.01,20.114,10.406,125.504
687,29.543,10.057,9.987,7.543,20.044,9.08,20.044,9.987,116.285
688,30.031,11.105,10.267,7.612,18.997,8.94,19.625,11.314,117.891
689,38.133,11.594,10.406,8.032,20.533,9.079,19.626,10.406,127.809
690,30.032,11.594,10.266,7.613,19.136,9.01,19.625,10.895,118.171
691,29.542,12.083,9.917,7.613,19.625,9.987,20.045,10.406,119.218
692,30.102,10.127,9.917,7.473,21.441,9.359,20.044,10.476,118.939
693,29.613,10.127,10.406,7.613,21.022,11.873,18.717,10.406,119.777
694,29.542,11.594,9.848,7.542,20.045,9.777,20.603,10.337,119.288
695,31.918,11.593,9.988,8.031,19.556,10.476,25.771,14.318,131.651
696,33.384,12.153,25.561,11.384,21.092,10.826,20.673,9.847,144.92
697,34.432,12.292,10.476,7.753,19.415,9.149,19.416,10.546,123.479
698,30.032,9.498,11.734,7.612,19.556,9.498,20.114,9.918,117.962
699,29.542,9.988,9.917,9.149,19.486,9.568,19.975,9.079,116.704
700,31.917,11.384,9.848,7.612,19.835,8.521,20.184,10.336,119.637
701,31.498,17.181,9.917,47.282,24.864,11.314,21.581,10.755,174.392
702,30.73,10.057,16.203,8.59,20.603,12.292,21.511,10.895,130.881
703,32.407,10.825,10.057,7.752,37.156,10.825,21.441,11.175,141.638
704,32.895,11.035,10.476,7.543,20.114,9.498,20.534,10.895,122.99
705,31.498,10.895,9.987,9.569,20.393,11.594,22.209,10.965,127.11
706,32.896,9.498,10.895,7.752,19.905,9.219,19.905,10.615,120.685
707,31.498,13.27,13.479,11.314,28.216,12.711,27.448,12.431,150.367
708,31.918,10.406,11.035,8.101,22.419,8.661,19.904,13.41,125.854
709,35.759,11.104,9.918,7.962,21.441,9.358,21.023,10.406,126.971
710,32.895,11.105,9.429,8.031,19.626,27.726,24.235,11.524,144.571
711,48.609,23.047,23.467,14.736,32.407,20.044,36.666,19.137,218.113
712,48.679,16.203,15.784,10.267,29.124,13.409,28.984,15.854,178.304
713,42.603,13.689,14.387,10.057,26.749,14.597,27.727,15.574,165.383
714,43.93,15.714,20.603,10.407,26.679,12.851,25.771,14.876,170.831
715,46.583,16.623,15.085,11.105,28.146,14.178,50.215,16.063,197.998
716,41.416,15.225,13.898,12.222,26.47,14.736,28.077,15.365,167.409
717,42.953,15.714,13.339,11.524,26.749,13.2,27.727,16.203,167.409
718,44.628,15.854,12.292,12.362,26.679,15.365,33.384,22.908,183.472
719,44.349,18.648,17.46,11.943,43.65,20.534,43.79,24.863,225.237
720,53.778,24.653,25.213,18.857,66.349,28.076,52.45,21.092,290.468
721,57.41,24.863,28.146,18.927,28.634,13.48,31.009,15.575,218.044
722,41.975,16.622,28.006,11.454,26.609,13.549,27.657,15.645,181.517
723,42.952,16.623,62.926,12.991,29.333,14.597,29.612,15.644,224.678
724,44.279,15.365,14.178,10.616,26.609,13.479,61.321,17.809,203.656
725,48.051,15.854,14.177,11.035,26.679,13.969,29.542,18.438,177.745
726,45.326,15.226,13.898,10.895,26.679,13.41,28.565,15.784,169.783
727,47.981,15.924,13.619,11.104,27.937,14.387,34.292,16.133,181.377
728,46.654,14.876,14.248,10.476,25.701,12.572,26.19,13.759,164.476
729,43.162,15.714,14.317,10.546,26.749,13.27,28.076,15.784,167.618
730,67.187,16.552,13.829,10.755,27.657,13.41,27.587,14.876,191.853
731,44.977,15.156,13.898,11.873,26.33,13.13,25.632,19.416,170.412
732,43.651,14.876,19.974,12.991,31.917,20.952,33.873,21.79,200.024
733,50.774,16.343,15.155,11.035,26.121,13.898,27.238,15.156,175.72
734,40.578,18.508,12.501,9.359,28.914,15.574,28.076,15.435,168.945
735,77.384,16.133,16.762,11.314,28.705,13.13,22.349,13.2,198.977
736,33.314,10.895,11.035,9.568,23.816,11.873,28.704,18.997,148.202
737,37.574,11.314,10.057,8.451,19.416,9.149,20.394,11.104,127.459
738,32.406,12.362,9.149,7.543,20.114,10.895,20.603,9.499,122.571
739,33.803,10.686,10.476,7.962,20.044,9.568,19.975,10.546,123.06
740,37.574,11.384,10.546,8.66,22.349,9.08,22.419,10.965,132.977
741,33.314,10.965,27.867,9.638,19.486,40.577,26.609,12.083,180.539
742,34.85,12.921,10.895,8.101,20.603,9.359,21.441,9.778,127.948
743,30.521,11.035,11.454,11.314,22.558,9.429,22.0,10.406,128.717
744,31.917,12.292,10.057,8.172,20.812,9.01,21.231,10.965,124.456
745,35.758,10.826,10.127,7.193,19.975,10.546,21.371,10.616,126.412
746,33.384,58.946,11.314,9.08,24.304,10.127,20.813,9.708,177.676
747,31.009,9.988,9.987,7.752,18.927,8.73,18.997,9.568,114.958
748,29.612,9.848,9.428,7.613,43.511,10.825,21.092,10.895,142.824
749,33.384,9.638,10.336,7.683,19.555,9.08,19.625,9.917,119.218
750,29.403,10.057,9.428,7.543,17.67,8.59,18.997,10.546,112.234
751,40.507,14.318,14.806,11.524,27.168,12.292,26.33,14.108,161.053
752,44.699,27.098,11.873,10.546,28.076,15.784,31.009,11.873,180.958
753,33.943,10.336,15.086,9.568,26.958,15.296,27.657,13.269,152.113
754,48.05,12.572,11.803,8.101,22.838,9.568,21.442,37.644,172.018
755,40.158,16.134,13.409,11.943,26.679,12.781,31.987,14.387,167.478
756,47.771,15.505,14.806,10.895,26.61,13.688,38.622,17.251,185.148
757,43.511,15.156,13.898,9.149,22.349,12.851,28.914,15.505,161.333
758,43.929,15.156,14.317,10.407,25.841,13.339,30.032,15.784,168.805
759,45.257,15.993,16.273,9.08,26.609,12.362,27.238,16.203,169.015
760,65.79,19.206,14.108,12.501,25.143,14.317,31.499,17.6,200.164
761,44.279,16.762,28.076,13.898,35.2,14.318,31.777,13.898,198.208
762,53.917,18.088,22.419,11.035,31.987,15.156,30.939,15.854,199.395
763,50.635,15.853,17.042,10.546,27.726,13.759,28.565,12.851,176.977
764,34.78,14.667,11.105,8.031,19.835,9.568,20.673,10.616,129.275
765,32.895,11.523,11.385,9.009,48.26,11.873,23.816,11.454,160.215
766,29.053,10.896,10.336,8.102,19.555,8.521,20.184,11.314,117.961
767,28.076,11.035,9.987,9.499,24.304,12.991,27.587,16.133,139.612
768,44.279,14.946,21.999,14.737,30.52,10.616,23.746,13.41,174.253
769,33.384,11.035,10.965,9.917,20.603,9.848,67.885,11.524,175.161
770,35.2,11.384,11.105,8.031,20.603,9.499,26.749,13.2,135.771
771,31.498,10.616,10.756,8.031,21.092,9.429,41.555,15.295,148.272
772,38.273,14.667,10.965,8.73,20.324,9.219,20.812,13.549,136.539
773,45.397,16.273,18.089,13.828,34.292,13.829,28.634,12.013,182.355
774,37.714,12.502,11.314,8.521,20.463,9.848,23.815,10.896,135.073
775,32.476,10.476,10.406,6.216,19.625,9.499,22.349,11.523,122.57
776,31.01,9.847,10.407,8.101,19.835,9.498,19.556,10.476,118.73
777,31.917,10.895,13.759,9.638,27.238,12.292,27.727,13.27,146.736
778,67.117,13.689,15.365,10.895,22.489,10.895,24.374,10.896,175.72
779,31.009,16.552,9.568,8.242,19.904,9.149,18.369,11.942,124.735
780,28.984,9.498,14.737,8.171,20.394,8.241,19.416,9.149,118.59
781,32.476,9.918,9.987,7.263,19.905,8.73,19.346,10.406,118.031
782,32.267,9.428,9.499,8.171,18.997,10.057,19.067,9.987,117.473
783,29.543,9.498,9.987,7.124,19.555,7.613,19.625,9.848,112.793
784,29.822,9.638,9.568,7.543,19.136,9.01,19.625,9.987,114.329
785,30.031,9.638,9.569,7.961,19.207,7.542,51.124,11.873,146.945
786,32.406,10.546,10.057,8.031,19.137,9.079,28.984,14.737,132.977
787,45.257,15.365,13.2,9.568,23.746,11.873,25.492,13.968,158.469
788,42.812,15.784,11.385,11.104,22.279,11.105,21.79,10.686,146.945
789,33.803,12.292,10.546,8.451,20.393,9.149,19.905,11.035,125.574
790,31.987,10.896,10.126,8.032,20.114,9.429,20.114,11.384,122.082
791,34.152,11.245,10.406,8.102,22.419,9.568,20.463,11.035,127.39
792,32.895,10.896,10.546,39.669,25.702,10.965,22.488,12.223,165.384
793,32.895,12.991,10.965,7.961,21.092,10.896,21.022,10.895,128.717
794,32.895,10.895,10.476,7.683,22.768,9.708,24.095,10.965,129.485
795,33.245,11.384,10.546,8.101,19.975,9.638,19.485,10.546,122.92
796,31.917,12.432,10.127,7.961,20.184,10.337,20.882,10.896,124.736
797,75.847,11.454,11.873,8.172,24.234,9.219,20.883,10.546,172.228
798,32.895,10.826,12.85,8.032,22.279,9.149,21.372,10.965,128.368
799,55.873,12.781,9.708,8.52,21.022,9.988,20.952,10.546,149.39
800,32.406,10.895,42.603,9.428,22.978,10.895,21.022,11.384,161.611
801,33.384,11.034,10.407,8.101,20.464,9.568,20.533,10.825,124.316
802,30.311,10.965,9.498,8.101,19.137,9.428,20.115,10.895,118.45
803,31.428,16.622,10.965,8.731,21.79,9.708,21.162,11.034,131.44
804,33.314,11.384,11.594,8.032,20.533,10.895,21.092,10.825,127.669
805,31.987,11.035,9.987,8.032,20.114,9.358,19.067,11.244,120.824
806,50.635,13.269,11.035,8.591,21.93,9.987,21.022,10.965,147.434
807,31.917,16.832,16.482,17.879,35.13,15.156,42.533,18.997,194.926
808,37.225,13.27,12.921,8.59,29.613,13.13,29.124,12.291,156.164
809,32.755,11.384,10.965,9.568,21.861,9.638,21.86,11.524,129.555
810,33.384,10.476,10.616,7.473,20.184,8.94,20.882,12.292,124.247
811,31.498,12.921,10.476,8.101,20.534,9.498,20.114,10.476,123.618
812,31.498,10.616,10.336,8.102,19.625,38.273,23.396,13.27,155.116
813,33.384,10.965,10.896,8.171,20.952,9.568,20.464,12.501,126.901
814,31.498,11.734,10.197,8.101,20.254,9.638,20.393,10.616,122.431
815,30.939,10.895,10.127,8.102,20.463,9.568,23.327,10.546,123.967
816,35.409,11.384,10.756,8.101,20.324,9.917,20.603,10.895,127.389
817,32.895,9.499,10.895,7.752,19.905,9.638,19.067,11.942,121.593
818,31.009,12.711,10.406,8.591,20.254,9.638,20.882,11.105,124.596
819,34.362,11.384,17.181,8.102,23.326,9.569,41.066,15.644,160.634
820,39.809,11.594,11.314,9.568,20.464,10.965,20.463,11.035,135.212
821,31.498,12.781,12.99,8.102,20.463,9.08,20.952,11.035,126.901
822,34.361,10.546,10.546,7.962,19.625,9.01,20.114,10.965,123.129
823,58.177,14.876,11.803,8.591,22.419,11.803,21.301,10.407,159.377
824,78.71,10.896,10.615,8.451,20.184,11.245,20.184,15.155,175.44
825,76.476,13.2,12.99,9.498,22.489,10.895,23.886,39.041,208.475
826,40.717,12.711,12.292,9.08,22.628,11.105,23.676,12.99,145.199
827,36.247,12.502,11.873,9.009,22.419,10.476,23.327,12.501,138.354
828,35.968,12.222,12.012,9.15,22.349,10.476,23.885,12.292,138.354
829,39.53,12.99,12.292,9.079,23.327,10.965,23.816,12.781,144.78
830,38.133,12.292,12.012,9.08,24.793,12.292,23.397,12.85,144.849
831,37.645,12.361,12.013,8.521,22.698,10.895,23.746,12.362,140.241
832,61.041,13.479,12.362,9.01,23.327,10.545,24.794,12.99,167.548
833,33.593,11.245,10.546,7.682,20.394,9.708,23.257,15.714,132.139
834,37.225,12.432,10.895,8.171,20.394,10.546,20.463,10.895,131.021
835,30.8,11.523,10.337,7.682,19.975,9.079,21.511,10.965,121.872
836,31.01,10.895,9.987,7.753,19.904,10.616,20.254,10.197,120.616
837,30.311,9.987,9.917,7.683,21.93,9.079,20.464,10.546,119.917
838,32.406,10.476,10.476,7.752,19.416,10.127,21.79,10.197,122.64
839,30.311,10.755,43.93,9.568,22.419,11.384,21.092,10.407,159.866
840,33.873,10.616,10.406,8.102,19.136,9.359,21.441,9.778,122.711
841,37.225,10.057,9.987,8.032,24.375,12.92,32.965,12.292,147.853
842,35.34,12.292,16.063,8.66,20.184,12.083,23.257,11.035,138.914
843,39.041,12.99,14.667,9.638,26.19,17.67,27.238,11.733,159.167
844,34.222,10.616,11.384,8.032,21.092,9.429,21.58,11.803,128.158
845,39.461,13.828,13.898,10.896,29.961,14.457,53.917,12.921,189.339
846,35.27,11.384,12.501,8.102,23.396,10.407,22.0,10.895,133.955
847,32.895,12.361,10.337,8.101,20.813,12.851,21.441,10.965,129.764
848,31.429,10.965,10.476,8.171,27.168,13.27,28.216,11.384,141.079
849,35.13,11.803,11.314,8.102,20.952,8.591,21.93,11.034,128.856
850,95.402,13.759,10.616,12.292,23.955,11.733,23.886,10.406,202.049
851,30.939,12.083,9.498,8.032,20.533,9.009,20.115,9.987,120.196
852,62.438,11.594,10.755,7.543,24.654,11.803,22.978,10.476,162.241
853,33.873,10.406,10.057,7.683,21.371,9.219,19.905,10.126,122.64
854,29.613,24.584,10.825,9.917,26.26,11.804,27.168,13.06,153.231
855,43.79,19.067,14.876,15.644,23.536,12.153,27.098,12.711,168.875
856,33.873,11.873,10.406,7.822,19.835,9.149,20.952,10.546,124.456
857,40.438,14.457,15.085,10.058,23.745,11.873,21.022,10.896,147.574
858,33.803,10.476,29.542,37.645,23.396,10.476,20.045,10.476,175.859
859,40.368,12.641,15.295,10.965,22.419,9.988,23.396,10.476,145.548
860,30.032,10.685,10.826,9.987,22.908,9.568,23.327,11.803,129.136
861,26.889,10.127,8.101,7.543,18.159,7.612,18.648,9.917,106.996
862,29.542,9.569,9.638,7.542,20.604,12.711,27.307,10.337,127.25
863,30.241,11.105,10.406,8.102,18.647,7.543,20.114,9.499,115.657
864,28.146,9.638,9.01,7.193,18.648,8.939,20.603,13.2,115.377
865,30.939,11.943,9.638,7.054,20.114,9.499,42.323,10.616,142.126
866,31.498,9.987,9.149,7.613,24.863,16.064,38.971,15.295,153.44
867,47.771,15.645,13.828,10.476,26.749,12.432,26.609,14.946,168.456
868,36.666,13.829,11.663,9.009,27.169,12.99,29.962,14.317,155.605
869,50.146,16.203,17.181,10.895,27.587,10.965,38.482,18.019,189.478
870,43.86,13.27,14.876,10.476,34.292,12.013,20.393,10.127,159.307
871,29.612,13.13,9.988,38.971,21.79,9.638,21.372,10.615,155.116
872,35.27,16.273,11.873,9.009,22.908,10.965,21.511,10.755,138.564
873,42.254,16.552,14.946,10.895,25.771,11.873,20.045,9.987,152.323
874,45.257,14.317,14.318,11.803,29.333,9.917,35.34,17.181,177.466
875,89.676,11.594,13.13,7.193,20.115,9.358,23.048,13.619,187.733
876,32.476,10.058,12.222,7.822,20.324,9.149,19.485,9.569,121.105
877,31.498,12.362,9.568,9.568,45.606,10.406,21.232,10.546,150.786
878,32.407,9.987,26.679,8.521,25.282,8.59,23.327,10.546,145.339
879,39.11,10.756,10.406,6.775,17.809,10.057,20.953,9.987,125.853
880,40.438,13.479,12.781,9.01,20.603,9.009,20.603,13.759,139.682
881,36.945,15.016,12.432,10.057,26.749,11.314,27.727,13.27,153.51
882,42.882,15.365,12.222,11.524,26.609,13.06,28.845,14.457,164.964
883,44.0,14.247,13.34,11.454,30.52,37.156,31.917,17.809,200.443
884,40.159,11.035,11.453,7.613,19.625,12.292,20.115,10.406,132.698
885,29.543,8.73,9.917,7.124,19.206,8.87,19.765,9.918,113.073
886,28.845,10.895,9.638,7.193,18.997,9.079,20.953,9.079,114.679
887,28.565,9.917,9.708,7.124,18.997,8.241,18.927,10.127,111.606
888,32.196,9.778,9.498,12.991,25.212,12.432,23.397,10.965,136.469
889,29.543,10.616,9.987,7.613,18.717,8.87,19.276,10.336,114.958
890,32.895,9.987,9.638,7.124,21.441,9.08,19.066,9.498,118.729
891,59.574,10.965,9.638,7.543,21.511,15.156,27.726,15.994,168.107
892,33.663,10.407,9.987,7.752,18.927,8.66,19.067,9.498,117.961
893,31.498,11.873,9.708,7.613,18.997,8.66,19.276,10.546,118.171
894,27.169,9.498,9.359,7.752,18.997,8.59,17.67,12.851,111.886
895,33.872,10.337,10.057,7.752,18.438,8.73,18.927,9.918,118.031
896,29.333,9.568,9.429,8.59,19.136,8.94,20.603,10.895,116.494
897,30.45,10.546,17.111,6.775,21.371,9.149,19.346,9.708,124.456
898,27.867,11.105,9.428,7.613,42.533,14.178,20.114,10.476,143.314
899,29.123,10.616,9.848,7.193,19.137,9.358,18.857,9.359,113.491
900,32.196,11.524,9.568,7.543,18.717,8.591,18.997,9.987,117.123
901,29.124,9.498,9.638,7.124,19.067,9.079,18.997,9.708,112.235
902,30.31,10.267,9.498,7.264,18.508,9.568,19.486,10.057,114.958
903,28.635,9.009,9.499,7.123,20.464,9.079,60.971,10.476,155.256
904,29.892,9.987,9.917,7.264,18.996,8.591,20.463,10.057,115.167
905,28.634,16.134,9.987,7.263,19.416,11.594,17.949,10.685,121.662
906,34.851,11.523,14.667,8.171,19.067,9.498,19.556,9.987,127.32
907,29.543,10.965,9.498,7.613,18.578,9.498,19.206,10.337,115.238
908,27.447,10.546,9.568,7.543,18.718,9.987,19.066,9.988,112.863
909,28.705,11.384,9.219,7.473,18.717,9.499,19.066,10.057,114.12
910,28.425,9.848,9.568,7.263,18.927,8.661,18.996,10.057,111.745
911,29.123,9.918,9.009,6.216,18.089,7.682,17.74,10.337,108.114
912,28.495,10.965,9.917,7.054,19.137,8.59,18.997,10.057,113.212
913,28.634,10.407,9.708,7.542,19.067,8.66,18.997,10.127,113.142
914,49.726,10.477,9.847,7.543,18.787,8.87,19.136,9.499,133.885
915,28.635,9.638,10.895,8.521,18.717,8.59,19.137,10.825,114.958
916,28.984,10.685,9.568,7.473,18.578,8.94,19.834,9.639,113.701
917,29.683,9.847,14.946,7.543,19.625,10.406,19.137,9.987,121.174
918,30.52,11.105,9.917,7.543,18.997,8.939,19.486,9.568,116.075
919,29.612,9.988,9.638,7.054,19.136,8.59,18.997,9.708,112.723
920,27.238,11.803,9.708,8.101,17.391,8.59,23.606,12.991,119.428
921,43.86,12.432,10.406,8.101,22.0,25.283,24.444,10.756,157.282
922,29.473,9.288,10.057,7.404,19.555,8.66,19.416,9.638,113.491
923,28.565,8.59,9.568,7.194,17.53,9.219,18.997,9.568,109.231
924,35.2,9.428,9.219,6.775,18.298,9.568,17.461,9.428,115.377
925,28.076,11.523,9.429,7.124,17.739,6.635,20.603,9.498,110.627
926,28.635,9.149,9.568,6.985,20.672,8.521,18.927,9.009,111.466
927,26.68,9.009,8.59,6.775,17.53,7.124,19.136,12.362,107.206
928,32.895,10.336,9.08,6.844,17.46,8.661,17.18,8.94,111.396
929,25.98,9.15,8.66,7.054,17.181,9.568,18.508,28.146,124.247
930,32.406,9.917,9.987,7.194,18.019,7.682,17.74,8.87,111.815
931,28.355,9.638,9.08,7.054,17.25,9.499,19.136,9.009,109.021
932,26.191,10.476,8.73,7.124,16.622,8.66,17.6,8.59,103.993
933,24.654,8.73,8.87,6.634,17.111,8.521,18.438,9.568,102.526
934,27.726,8.94,9.638,6.705,18.508,8.241,18.927,9.149,107.834
935,28.635,10.336,9.569,46.164,19.765,10.127,19.416,9.638,153.65
936,29.123,9.988,14.736,7.682,19.486,9.638,19.416,9.708,119.777
937,28.704,9.848,8.939,7.194,18.857,9.009,35.27,10.546,128.367
938,31.079,11.384,9.638,7.543,18.158,8.591,18.996,9.708,115.097
939,28.705,9.359,9.707,6.775,18.298,8.591,18.158,9.499,109.092
940,29.543,10.057,9.009,7.054,18.648,8.59,18.718,8.52,110.139
941,30.52,10.127,9.429,7.053,18.858,8.38,18.997,9.987,113.351
942,29.613,9.428,9.219,7.124,17.041,7.264,18.997,9.568,108.254
943,28.146,10.825,9.079,7.264,18.438,9.638,18.508,9.917,111.815
944,29.822,11.034,9.848,7.194,18.647,9.01,19.066,9.499,114.12
945,28.635,10.127,9.358,7.194,18.648,8.52,18.787,9.778,111.047
946,31.778,11.873,9.498,7.264,18.927,7.682,19.556,9.498,116.076
947,28.076,10.965,9.499,7.123,18.578,8.59,18.229,9.847,110.907
948,34.152,9.638,9.009,6.146,18.229,8.52,18.648,9.498,113.84
949,28.705,9.498,9.149,7.124,18.578,8.171,19.905,9.638,110.768
950,28.215,9.778,9.009,7.194,19.067,8.52,18.787,9.848,110.418
951,28.565,9.638,9.499,5.657,17.32,9.359,20.673,9.848,110.559
952,31.498,9.638,9.01,7.473,18.088,8.521,18.857,9.708,112.793
953,28.635,9.917,9.079,7.264,20.393,8.241,18.927,9.638,112.094
954,44.209,9.568,8.73,6.566,17.46,9.079,18.787,10.616,125.015
955,29.124,9.917,9.079,7.683,18.019,9.708,17.949,8.66,110.139
956,28.146,16.553,22.069,7.962,19.975,8.939,22.349,9.569,135.562
957,28.635,9.498,9.219,7.543,18.089,9.568,19.486,9.638,111.676
958,28.215,10.895,9.15,7.682,19.416,9.708,18.787,9.498,113.351
959,31.01,9.917,9.01,7.193,19.067,9.009,20.114,9.918,115.238
960,27.099,9.149,9.847,6.705,19.136,8.521,18.787,9.359,108.603
961,28.355,9.987,9.219,7.054,18.578,8.171,18.508,11.105,110.977
962,50.145,12.851,10.476,7.613,20.463,8.591,19.066,9.499,138.704
963,28.356,9.219,10.406,7.124,18.647,9.499,21.022,10.476,114.749
964,29.123,10.616,9.429,7.123,19.695,9.848,22.559,12.222,120.615
965,47.631,10.826,11.035,7.612,19.486,8.66,18.997,9.638,133.885
966,31.987,10.895,13.479,8.451,22.559,13.199,30.521,9.428,140.519
967,75.428,11.803,10.127,7.613,19.974,9.638,19.416,16.762,170.761
968,35.758,11.105,22.14,8.171,20.184,9.149,22.349,9.568,138.424
969,37.155,11.873,10.127,7.612,19.486,8.66,20.394,10.127,125.434
970,29.822,12.711,9.499,7.752,18.438,8.241,20.394,10.057,116.914
971,28.146,9.918,9.009,7.264,18.019,11.034,19.486,9.568,112.444
972,27.867,9.568,9.359,7.124,19.625,8.521,18.228,9.498,109.79
973,38.133,12.013,12.781,11.524,22.838,12.501,25.702,12.85,148.342
974,43.371,18.158,12.362,10.127,29.543,15.644,27.727,10.406,167.338
975,30.032,14.178,23.955,12.781,29.473,16.203,51.682,15.854,194.158
976,52.521,16.133,13.968,11.314,28.146,15.365,38.413,14.108,189.968
977,44.419,18.997,15.784,14.247,28.565,15.854,32.895,17.6,188.361
978,51.473,14.946,13.688,10.127,24.165,12.502,27.727,13.269,167.897
979,38.762,14.597,12.013,8.66,26.19,11.873,27.587,15.156,154.838
980,45.397,13.689,12.99,9.499,23.815,10.965,26.191,12.431,154.977
981,66.0,16.901,11.594,8.101,21.442,9.498,20.044,10.476,164.056
982,31.009,11.035,9.429,8.101,18.648,9.987,19.136,9.848,117.193
983,30.73,9.638,9.149,7.473,20.533,8.59,18.648,9.428,114.189
984,28.635,9.987,9.638,7.054,18.717,8.591,18.926,9.708,111.256
985,28.495,11.245,9.987,7.263,17.949,8.172,18.578,9.498,111.187
986,29.054,9.498,9.499,5.727,18.158,9.499,18.717,9.428,109.58
987,30.032,9.707,9.918,6.984,18.159,11.453,19.556,8.59,114.399
988,25.422,9.847,9.219,7.543,18.578,8.66,19.905,32.476,131.65
989,31.917,16.483,10.895,11.035,20.673,13.479,24.305,10.476,139.263
990,28.635,9.987,9.638,7.124,18.648,8.59,20.952,9.08,112.654
991,26.399,8.87,9.01,8.171,21.162,9.079,20.463,10.058,113.212
992,25.701,10.476,9.01,7.193,17.181,8.032,27.657,12.013,117.263
993,35.688,11.803,13.34,9.848,23.885,9.918,18.647,50.914,174.043
994,36.806,12.781,12.921,9.079,21.93,13.34,22.488,12.223,141.568
995,43.022,15.644,21.93,10.965,49.098,11.943,28.565,15.365,196.532
996,42.254,10.546,10.266,7.613,16.273,13.27,26.26,12.851,139.333
997,32.406,9.498,9.01,6.355,18.508,12.502,19.415,8.102,115.796
998,30.73,10.336,9.429,7.194,18.647,8.521,19.136,9.429,113.422
999,29.054,10.616,9.428,7.124,18.717,9.429,20.673,9.358,114.399
1000,32.266,10.057,8.94,7.054,19.136,9.498,20.115,11.873,118.939
